date,risk_regime,allocation_action,p_structural,p_shock,early_score,early_struct_level,base_allocation,shock_modifier,tactical_multiplier,early_struct_multiplier,alloc_recomposed_raw,hard_max_allocation,alloc_capped,final_allocation,cap_binding
2025-03-17,HIGH,REDUCE_TO_35_60,0.2915636076360448,0.0347874382071011,0.7201352067367557,1,0.45,1.0,0.9,1.0,0.405,1.0,0.405,0.405,False
2025-03-18,HIGH,REDUCE_TO_35_60,0.3817344225861701,0.0375037595313109,0.7198006239911082,1,0.45,1.0,0.8,1.0,0.36000000000000004,1.0,0.36000000000000004,0.36,False
2025-03-19,LOW,LIGHT_REDUCE,0.3042005323755427,0.0365359783000185,0.7131008815579797,1,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,False
2025-03-20,LOW,LIGHT_REDUCE,0.376183933003028,0.0373421989789996,0.6760382127752657,1,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,False
2025-03-21,LOW,LIGHT_REDUCE,0.3453129946829176,0.0460584967747955,0.7231723853392431,1,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,False
2025-03-24,LOW,LIGHT_REDUCE,0.2096221502704137,0.0502129418312781,0.7254714156549904,1,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,False
2025-03-25,LOW,LIGHT_REDUCE,0.1967484835824504,0.0495795698764977,0.6761705182561061,1,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,False
2025-03-26,LOW,LIGHT_REDUCE,0.2742734099169246,0.0525025098295457,0.7542781091626589,1,1.0,1.0,0.8,1.0,0.8,1.0,0.8,0.8,False
2025-03-27,LOW,LIGHT_REDUCE,0.2938503401529191,0.0479207885998975,0.7253398961788735,1,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,False
2025-03-28,LOW,LIGHT_REDUCE,0.6499052687925199,0.0401079483368492,0.7752830470076864,1,1.0,1.0,0.8,1.0,0.8,1.0,0.8,0.8,False
2025-03-31,LOW,LIGHT_REDUCE,0.4146303094776671,0.0494381230258616,0.7855735167740175,1,1.0,1.0,0.8,1.0,0.8,1.0,0.8,0.8,False
2025-04-01,LOW,LIGHT_REDUCE,0.3769361392408138,0.0480293725640734,0.7770736795851825,1,1.0,1.0,0.8,1.0,0.8,1.0,0.8,0.8,False
2025-04-02,LOW,LIGHT_REDUCE,0.3624319609282651,0.0472763702494422,0.7150891936880045,1,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,False
2025-04-03,HIGH,REDUCE_TO_15_35,0.7131113622448694,0.1746879650334468,0.9119588668948172,2,0.45,1.0,0.7,1.0,0.315,1.0,0.315,0.315,False
2025-04-04,HIGH,REDUCE_TO_15_35,0.7804797848565563,0.2247826209339483,0.9740538330069752,2,0.45,0.7,0.7,0.8,0.1764,0.3,0.1764,0.1764,False
2025-04-07,HIGH,REDUCE_TO_15_35,0.7899552260163113,0.344166523015553,0.9735973866323244,2,0.45,0.7,0.7,0.8,0.1764,0.3,0.1764,0.1764,False
2025-04-08,HIGH,REDUCE_TO_15_35,0.8073503817086641,0.3791818859924238,0.9783133266389052,2,0.45,0.7,0.7,0.8,0.1764,0.3,0.1764,0.1764,False
2025-04-09,MEDIUM,REDUCE_TO_35_60,0.5456966026310613,0.2829112103146054,0.9864210993517916,2,0.9,0.7,0.8,1.0,0.504,1.0,0.504,0.504,False
2025-04-10,HIGH,REDUCE_TO_15_35,0.5426929830351485,0.550074456990801,0.9833319436303944,2,0.45,0.5,0.8,1.0,0.18000000000000002,1.0,0.18000000000000002,0.18,False
2025-04-11,LOW,LIGHT_REDUCE,0.5736825136946323,0.1826000948868112,0.936041152273266,2,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.9,False
2025-04-14,MEDIUM,LIGHT_REDUCE,0.5884481468162418,0.1646269100657822,0.9053959070203396,2,0.9,1.0,0.9,1.0,0.81,1.0,0.81,0.81,False
2025-04-15,MEDIUM,LIGHT_REDUCE,0.5928887798597217,0.1623801398027734,0.8612988405212167,2,0.9,1.0,0.9,1.0,0.81,1.0,0.81,0.81,False
