date,vix,hy_oas,fear_greed,aaii_spread,wiki_views_total,gdelt_risk,z_vix,z_hy_oas,z_fear_greed_inv,z_aaii_bear,z_wiki_views,z_gdelt_risk,srs_v2,srs_accel_v2,sentiment_signal_v2,srs_plus,srs_accel_plus,sentiment_signal_plus
2026-02-02,16.34,2.81,49.8571428571429,13.599999999999998,6892.0,132188.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,,0,0.0,,0
2026-02-03,18.0,2.85,44.4857142857143,13.599999999999998,6440.0,121028.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2026-02-04,18.64,2.86,39.7383022774327,13.599999999999998,6299.0,150526.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2026-02-05,21.77,2.97,34.2367346938776,10.667000000000005,6431.0,128503.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2026-02-06,17.76,2.87,43.9265306122449,10.667000000000005,5755.0,126875.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2026-02-09,17.36,2.84,48.6285714285714,10.667000000000005,5061.0,155352.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2026-02-10,17.79,2.86,50.8857142857143,10.667000000000005,5300.0,137013.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2026-02-11,17.65,2.84,48.4285714285714,10.667000000000005,5293.0,144564.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2026-02-12,20.82,2.92,35.8053830227743,0.3890999999999991,5267.0,134229.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2026-02-13,20.6,2.95,36.1428571428571,0.3890999999999991,4873.0,122746.0,1.0887216089817917,1.4017166276753399,1.1192484937306917,1.8275417851034952,-1.2654605676792534,-1.0820310570626945,1.336489526763977,1.0691916214111816,1,1.2191149455268795,0.9752919564215036,1
2026-02-16,21.2,2.94,36.1428571428571,0.3890999999999991,4621.0,133195.0,1.2458670637259481,1.0820015668724334,1.010508174837277,1.5143577108134605,-1.383247183546444,-0.17373425216681507,1.2033337663096622,0.6953691076949343,1,1.1254846945239991,0.6565647665138235,1
2026-02-17,20.29,2.94,37.7551020408163,0.3890999999999991,5149.0,122464.0,0.7052520557782554,0.9885525276480872,0.7094394428068908,1.3234409924621364,-0.6390455922316335,-1.041599777736807,0.9147174620817082,0.22380931105063873,1,0.8306851935832862,0.1956282268564532,0
2026-02-18,19.62,2.86,38.9510204081633,0.3890999999999991,5217.0,123086.0,0.3202135839739301,-0.49371185821340957,0.49317834398386406,1.1914040771299794,-0.5197717030728747,-0.9138245927411283,0.2848670019509249,-0.46301454947032955,0,0.21318718716022478,-0.46450721699865316,0
2026-02-19,20.23,2.88,37.1420523138833,-2.4095999999999975,5079.0,133793.0,0.6383442590086583,-0.10117420853380706,0.7488598937653345,1.4620849165032521,-0.6777371536622984,0.05057785106347343,0.6033399771961727,-0.2652095696643162,0,0.5719820120662314,-0.22010879450589282,0
2026-02-20,19.09,2.86,42.6285714285714,-2.4095999999999975,5268.0,131330.0,-0.03305508684779382,-0.4855294343447378,-0.17108770610007942,1.3185528963173818,-0.38981499885991044,-0.17483942800003444,0.07391768168570098,-0.5421174961591329,0,0.04568496034270374,-0.5117198491925854,0
